topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Geography,"Consider the following statements:
Statement-I: India, despite having uranium deposits, depends on coal for most its
electricity production.
Statement-II: Uranium, enriched to the extent at of least 60%, is required for the
production of electricity.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-1",Statement-I is correct but Statement-II is incorrect,"Statement-I is incorrect but Statement-II is correct""
Correct Answer: Option c
Q2. Consider the following statements:
1. Jhelum River passes through Wular Lake.
2. Krishna River directly feeds Kolleru Lake.
3. Meandering of the Gandak River formed Kanwar Lake.
How many of the statements given above are correct?",a,hard
Geography,"Consider the following countries:
1. Azerbaijan
2. Kyrgyzstan
3. Tajikistan
4. Turkmenistan
5. Uzbekistan
Which of the above have borders with Afghanistan?","1, 2 and 5 only","1, 2, 3 and 4 only","3, 4 and 5 only","1, 2, 3, 4 and 5
Correct Answer: c
Q17. With reference to India, consider the following statements?
1. Monazite is a source of rare earths.
2. Monazite contains thorium.
3. Monazite occurs naturally in the entire Indian coastal sands in India.
4. In India, Government bodies only can process or export monazite.
Which of the statements given above are correct?",d,hard
Geography,"With reference to India, Didwana, Kuchaman, Sargol and Khatu are the names of",glaciers,mangrove areas,Ramsar sites,saline lakes,d,easy
Geography,"Consider the following rivers:
1. Brahmani
2. Nagavali
3. Subarnarekha
4. Vamsadhara
Which of the above rise from the Eastern Ghats?",1 and 2,2 and 4,3 and 4,"1 and 3
Correct answer: option b
Q9. Consider the following statements:
1. The Global Ocean Commission grants licences for seabed exploration and
mining in international waters.
2. India has received licences for seabed mineral exploration in international
waters.
3. ‘Rare earth minerals’ are present on the seafloor in international waters.
Which of the statements given above are correct?",c,hard
Geography,"Leaf litter decomposes faster than in any other biome and as a result the soil
surface is often almost bare. Apart from trees, the vegetation is largely composed of
plant forms that reach up into the canopy vicariously, by climbing the trees or
growing as epiphytes, rooted on the upper branches of trees.” This is the most likely
description of",coniferous forest,dry deciduous forest,mangrove forest,"tropical rainforest
Correct answer: option d
2020
Q1. What are the advantages of fertigation in agriculture?
1. Controlling the alkalinity of irrigation water is possible.
2. E�cient application of Rock Phosphate and all other phosphatic fertilizers is
possible.
3. Increased availability of nutrients to plants is possible.
4. Reduction in the leaching of chemical nutrients is possible.
Select the correct answer using the code given below:",c,medium
Geography,"What is/are the advantages/advantages of zero tillage in agriculture?
1. Sowing wheat without burning the residue of previous crop.
2. Without the need for a nursery of rice saplings, direct planting of paddy
seeds in the wet soil is possible.
3. Carbon sequestration in the soil is possible
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3
Correct answer: option d
Q8. With reference to solar water pumps, consider the following statements:
1. Solar power can be used for running surface pumps and not for
submersible pumps.
2. Solar power can be used for running centrifugal pumps and not the
ones with piston.
Which of the statements given above is/are correct?",b,hard
Geography,"Among the following, which one is the largest exporter of rice in the world in the
last five years?",China,India,Myanmar,"Vietnam
Correct answer: option b
Q6. Consider the following pairs
Glacier River
1. Bandarpunch Yamuna
2 . Bara Shigri Chenab
3. Milam Mandakini
4. Siachen Nubra
5. Zemu Manas
Which of the pairs correctly matched?",a,easy
Geography,"With reference to the management of minor minerals in India, consider the
following statements:
1. Sand is a ‘minor mineral’ according to the prevailing law in the country.
2. State Governments have the power to grant mining leases of minor minerals,
but the powers regarding the formation of rules related to the grant of minor
minerals lie with the Central Government.
3. Stale Governments have the power to frame rules to prevent illegal mining of
minor minerals.
Which of the statements given above is/are correct?",1 and 3 only,2 and 3 only,3 only,"1, 2 and 3
Correct answer: option a
Q10. Consider the following statements:
1. Petroleum and Natural Gas Regulatory Board (PNGR",c,hard
Geography,"Consider the following statements:
1. In India, the Himalayas are spread over five states only.
2. Western Ghats are spread over five states only.
3. Pulicat Lake is spread over two States only.
Which of the statements given above is/are correct?",1 and 2 only,3 only,2 and 3 only,"1 and 3 only
Correct answer: option b
Q3. With reference to ‘Indian Ocean Dipole (IO",d,hard
Geography,"In which of the following regions of India are shale gas resources found?
1. Cambay Basin
2. Cauvery Basin
3. Krishna-Godavari Basin
Select the correct answer using the code given below.",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3
Correct answer: option d
Q3. Which of the following is/are the advantages/advantages of practicing drip
irrigation?
1. Reduction in weed
2. Reduction in soil salinity
3. Reduction in soil erosion
Select the correct answer using the code given below.",d,hard
Geography,"What can be the impact of excessive/inappropriate use of nitrogenous fertilizers
in agriculture?
1. Proliferation of nitrogen-fixing microorganisms in soil can occur.
2. Increase in the acidity of soil can take place.
3. Leaching of nitrate to the groundwater can occur.
Select the correct answer using the codes given below.",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",c,hard
Geography,What explains the eastward flow of the equatorial counter-current ?,The Earth's rotation on its axis,Convergence of the two equatorial currents,Di�erence in salinity of water,"Occurrence of the belt of calm near the equator
Correct answer: option b
Q5. Consider the following pairs:
S.No Place of Pilgrimage Location
1. Srisailam Nallamala hills
2. Omkareshwar Satmala hills
3. Pushkar Mahadev hills
Which of the above pairs is/are correctly matched ?",b,easy
Geography,"Which one of the following best describes the main objective of 'Seed Village
Concept'?","Encouraging the farmers to use their own farm seeds and discouraging them to
buy the seeds from others","Involving the farmers for training in quality seed production and thereby to make
available quality seeds to others at appropriate time and a�ordable cost",Earmarking some villages exclusively for the production of certified seeds,"Identifying the entrepreneurs in villages and providing them technology and
finance to set up seed companies",b,easy
Geography,"With reference to the Indian Renewable Energy Development Agency Limited
IRED",", which of the following statements is/are correct?
1. It is a Public Limited Government Company.
2. It is a Non-Banking Financial Company.
Select the correct answer using the code given below.",1 only,2 only,Both 1 and 2,c,easy
Geography,"What are the significance of a practical approach to sugarcane production
known as the 'Sustainable Sugarcane Initiative'?
1. Seed cost is very low in this compared to the conventional method of cultivation.
2. Drip irrigation can be practiced very e�ectively in this.
3. There is no application of chemical/inorganic fertilizers at all in this.
4. The scope for intercropping is more in this compared to the conventional method
of cultivation.
Select the correct answer using the code given below:",1 and 3 only,"1, 2 and 4 only","2, 3 and 4 only","1, 2, 3 and 4
Correct answer: option b
Q2. Which one of the following pairs of islands is separated from each other by the
'Ten Degree Channel'?",c,hard
